date,green,yellow,red,excluded
2020-05-01,54,6,77,52
2020-05-02,56,6,75,52
2020-05-03,55,8,74,52
2020-05-04,54,8,75,52
2020-05-05,54,8,75,52
2020-05-06,54,9,74,52
2020-05-07,55,9,73,52
2020-05-08,57,8,72,52
2020-05-09,57,9,71,52
2020-05-10,56,9,72,52
2020-05-11,53,11,73,52
2020-05-12,51,13,73,52
2020-05-13,51,15,71,52
2020-05-14,52,15,70,52
2020-05-15,52,16,69,52
2020-05-16,54,15,68,52
2020-05-17,53,16,68,52
2020-05-18,54,15,68,52
2020-05-19,53,17,67,52
2020-05-20,52,16,69,52
2020-05-21,54,13,70,52
2020-05-22,54,13,70,52
2020-05-23,54,13,70,52
2020-05-24,54,16,67,52
2020-05-25,53,17,67,52
2020-05-26,54,17,66,52
2020-05-27,53,18,66,52
2020-05-28,52,17,68,52
2020-05-29,53,17,67,52
2020-05-30,53,16,68,52
2020-05-31,54,15,68,52
2020-06-01,54,15,68,52
2020-06-02,53,16,68,52
2020-06-03,53,16,68,52
2020-06-04,52,16,69,52
2020-06-05,52,17,68,52
2020-06-06,52,19,66,52
2020-06-07,52,19,66,52
2020-06-08,52,17,68,52
2020-06-09,49,15,73,52
2020-06-10,52,13,72,52
2020-06-11,53,14,70,52
2020-06-12,53,12,72,52
2020-06-13,52,12,73,52
2020-06-14,52,15,70,52
2020-06-15,50,18,69,52
2020-06-16,51,17,69,52
2020-06-17,51,17,69,52
2020-06-18,51,17,69,52
2020-06-19,54,16,67,52
2020-06-20,54,16,67,52
2020-06-21,54,16,67,52
2020-06-22,53,17,67,52
2020-06-23,52,18,67,52
2020-06-24,53,17,67,52
2020-06-25,50,19,68,52
2020-06-26,49,18,70,52
2020-06-27,50,16,71,52
2020-06-28,50,17,70,52
2020-06-29,50,18,69,52
2020-06-30,50,17,70,52
2020-07-01,51,14,72,52
2020-07-02,51,14,72,52
2020-07-03,51,13,73,52
2020-07-04,51,14,72,52
2020-07-05,50,16,71,52
2020-07-06,51,16,70,52
2020-07-07,50,15,72,52
2020-07-08,48,17,72,52
2020-07-09,48,17,72,52
2020-07-10,47,16,74,52
2020-07-11,47,15,75,52
2020-07-12,48,14,75,52
2020-07-13,47,16,74,52
2020-07-14,48,16,73,52
2020-07-15,48,17,72,52
2020-07-16,48,14,75,52
2020-07-17,48,16,73,52
2020-07-18,48,16,73,52
2020-07-19,49,16,72,52
2020-07-20,49,15,73,52
2020-07-21,47,16,74,52
2020-07-22,47,15,75,52
2020-07-23,46,17,74,52
2020-07-24,45,19,73,52
2020-07-25,45,19,73,52
2020-07-26,45,19,73,52
2020-07-27,45,19,73,52
2020-07-28,45,18,74,52
2020-07-29,45,19,73,52
2020-07-30,43,18,76,52
2020-07-31,42,19,76,52
2020-08-01,42,18,77,52
2020-08-02,41,20,76,52
2020-08-03,43,23,71,52
2020-08-04,42,23,72,52
2020-08-05,42,24,71,52
2020-08-06,40,23,74,52
2020-08-07,40,23,74,52
2020-08-08,39,21,77,52
2020-08-09,37,22,78,52
2020-08-10,38,20,79,52
2020-08-11,37,21,79,52
2020-08-12,35,29,73,52
2020-08-13,33,26,78,52
2020-08-14,34,24,79,52
2020-08-15,32,26,79,52
2020-08-16,33,23,81,52
2020-08-17,31,25,81,52
2020-08-18,32,22,83,52
2020-08-19,32,21,84,52
2020-08-20,32,21,84,52
2020-08-21,32,18,87,52
2020-08-22,34,19,84,52
2020-08-23,34,19,84,52
2020-08-24,32,19,86,52
2020-08-25,32,19,86,52
2020-08-26,33,20,84,52
2020-08-27,32,20,85,52
2020-08-28,35,18,84,52
2020-08-29,36,17,84,52
2020-08-30,35,20,82,52
2020-08-31,36,19,82,52
2020-09-01,35,18,84,52
2020-09-02,36,19,82,52
2020-09-03,34,21,82,52
2020-09-04,33,22,82,52
2020-09-05,32,22,83,52
2020-09-06,31,22,84,52
2020-09-07,31,21,85,52
2020-09-08,31,23,83,52
2020-09-09,31,22,84,52
2020-09-10,31,21,85,52
2020-09-11,30,21,86,52
2020-09-12,31,21,85,52
2020-09-13,31,19,87,52
2020-09-14,31,18,88,52
